Verifying with hexadecimal (base-16) digit sums...

✓ 4 (n=2): root=2, hexadecimal_sum=4, 2 == 4-2
✓ 4573648416034489484278345465838689880132244306282076934260386028270177574664511002474386333603273359166261916653414196634012407060954756906806982430331377537944462506701630716397770078963648351872067481847871815400063762432000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 (n=105): root=1320, hexadecimal_sum=1425, 1320 == 1425-105
✓ 488509721060132463488662652625539712809502725750084841728162666451238675686643382288863957228255309649169396006331367093646184507825909142318571967185540969408996280642306319321450562422919844829900809576605596346798923309861335000427044453084420679082363913289285742221372611645434567612713320805775205326618709983232 (n=99): root=1618, hexadecimal_sum=1717, 1618 == 1717-99
✓ 1760866492482589941083030159853501646956563027937072238019408419517911214412318324917561113168798963404347087914096510151694980842041012359219508655594245923114024288878838618639116594813098703671889601181031426214453339739565304326611093418933206983198104952921133191752273811455730626435635186734469185846175898506882253207719903232 (n=105): root=1492, hexadecimal_sum=1597, 1492 == 1597-105
✓ 144879596789814846086193505799633312029293598644608443968185998036232438870332884294123845021521142841633107146378302237239319725822191967791666035500774286583517882589500593909528898658570460886467429687695123866264060220765143794429061617620194880948688659149236793149297880260171219130895505139495689607795550192211485757717165899776 (n=105): root=1556, hexadecimal_sum=1661, 1556 == 1661-105
✓ 185051576806142137431191846123007798346019788388186779398967318502741066768119945683830511112690195990069382320909468759000369819427246357462459638315951705908668348482772621169551253881404846780456706628683762560915058268393126456854522109783272479448527079345301556206327300580187842493827487202681451793168608979320832 (n=99): root=1718, hexadecimal_sum=1817, 1718 == 1817-99
✓ 583336500835962048327372498267697535586412608731057667658192105272163058644989335665458679529142816483496529653286295661323205317671004537687548634787755376862402197893736966315000368207182222587894805801446844644056951259230344084779879566809793795270149469462476952484650205657107627940757144040448746165624605589861653090311164525543424 (n=105): root=1684, hexadecimal_sum=1789, 1684 == 1789-105
✓ 7749667952221207608875107973976526369040859838222965550656495072907317147691714668196816623590620576691990705197028082320781453432231572393595692141976355864113027526183539984000279934765701945419845596926304042658842182448189234959267732302726717307832142997259523840427323738715089994078811900094826328737029311117348271688139709534437376 (n=105): root=1726, hexadecimal_sum=1831, 1726 == 1831-105
✓ 1146943006975994170612212381015382109353909505403610325066208683885072390272144248235089695187755647785572834944266505989222272993438916357007609194233070265526401853769174715571448352161669042398485611972195041014505274663723347693092133504085212447637015870044519989949657687619981898420957294046794966237768929827701662682881982464 (n=102): root=1842, hexadecimal_sum=1944, 1842 == 1944-102
✓ 2364489924908975893115373798783048066717254074688662885256150953690809148556459026636348226227173537220041206737414715353989134385470665722800072808543948642915851847463198162829468748778671446282773529648251324132268865919309398103998742593424423353209210432175326843744304614943549296930669560777796954142414365863723401216 (n=108): root=1008, hexadecimal_sum=1116, 1008 == 1116-108
✓ 1435207469657888300100668087093250626360303656120842589233037080973175992857087248367424105474580421883739615013841320546369419705380930200781075656158363874396519975633848799795161595367780757702067002010064231042497785657942189847838164155752595377798339869565550704131117325754234004461968725489974149197336752117775190274165303426441805824 (n=105): root=1814, hexadecimal_sum=1919, 1814 == 1919-105
✓ 1808661453911060356753103823399587777226353031366344306994494633216032812721679901160139521702291747389893465556832073191083105775087197212338137650095278716258055997134822759499751936485493964019171766411986997353814058901036482671464835084526411174815461612115182708650430891775869750022525166513053851543301873142113993943845335338024173568 (n=105): root=1818, hexadecimal_sum=1923, 1818 == 1923-105
✓ 3608813358533190455745250090364991312413880539803272276107401181893818729425128078138632845086378914639810935354350010463730269235677573832679206184306158863625051683766539348300195555973569547264433586939981095141575713639458197299265143000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 (n=105): root=1830, hexadecimal_sum=1935, 1830 == 1935-105
✓ 3524347597249901646017146718601629849820972207371933123034661241198840176377860627072410476101080773652836394210851833343762413949095689655433802050569120888304417186561832554363705764083498883348049974408845306411276649484115191989749364689677223872778987114120279334011002152585336368849898485548135364959858486507089751522985722324130698625024 (n=105): root=1954, hexadecimal_sum=2059, 1954 == 2059-105
✓ 10827931410256869667693349296497730914808546208940925087442020176635202712002901172160705084174334574030320868846333766094772059439595893291899144987309875775904734523975484956354733756789966048382232861223711339218625838434128004179629826510839474415630102887558106469832436618330897825638246418627550610690180032946727806120179593563079833984375 (n=105): root=1975, hexadecimal_sum=2080, 1975 == 2080-105
✓ 1699552962223201688680694962815586235064002494811066240265322221408035390057949770534930104513074697145895067979517603179559463944037851164586350108098435157998046110774009289079739494271451531411662245587464458343168948890548011831236040169254585059003452102795058529301322815107053267539970000936667688822832617889328852851514119765537746477761 (n=104): root=2087, hexadecimal_sum=2191, 2087 == 2191-104
✓ 464914915529777079119203061100786811688473232874930065482947034326223989042420493914894166074546777382712929951248415077952612377899578837968283491503558163508940992733094914833300301174688649873200900555312785682872716091865423468904788176433402467037827761898005433558423308850470462438514201897730235768600084390383986913019447810992214762539007 (n=105): root=2047, hexadecimal_sum=2152, 2047 == 2152-105
✓ 6475988235859179649632356685010218936162401838872871921465692034883058907151545186909374339881970751211150919827712587423120976836246720900390830657917641472009946086742528832083559728833765253708052228181413348295233188640665679882099339129968151338812283239035468965516317127429811951252987222665943249005423917711846584043136094028137439981620499 (n=105): root=2099, hexadecimal_sum=2204, 2099 == 2204-105
✓ 531869350796848832153968470825950077171548218833935617950055968921057946772018913058321175294503526995997990984151957784380735552588480570494611931710321038357630177518056912997293149290418642189658985418504229693503231300724988727426472655054354126109632505112328611594999493803101879073642159549107427562882652767946589063486184435116517106134763949 (n=105): root=2189, hexadecimal_sum=2294, 2189 == 2294-105
✓ 125374353385603039230737495954449778013225027971805353601206811537377450366745484941060572314906999815695331005398602778648221456723560099307439091083665553300825240735159639431996633911855222085120834739298923483088778970188582069441755378091513689194043703862981064436845660108744342759375999107254239190646293160107783917872712629747161501747385745817161664561 (n=108): root=2253, hexadecimal_sum=2361, 2253 == 2361-108
✓ 27953512445162553391893907840260161700850284669090930443442647759918235127041818150992235545606606929254380063725798325437543401259161403747249368346173539988262978414480004792737575196878366188348584116914686361953324263892050819923127417165817952862208 (n=111): root=192, hexadecimal_sum=303, 192 == 303-111
✓ 2247093660979952947878691893875006102531540353085441153363339794952658431301592654533714702940527955350992402745633361251720926637098786618085389104023697128359596228232842028327623411135415351848372842876100788132490004917012563012642492782787889385080998675210748672069568693833721128857001074148560581156261142060932813920326834454528 (n=111): root=1072, hexadecimal_sum=1183, 1072 == 1183-111
✓ 11423220736291644518868199271077645039220812416626548765380417671121287211822525023277287110335476702698619638518078881135770182390594364948827470117728411218761136059638196466855204238183044899153944164310984674616849458402869998025933862087943705489701008468843800827083805308470761541644977313103137452951161530442538882591276861735743520768 (n=111): root=1232, hexadecimal_sum=1343, 1232 == 1343-111
✓ 22355343717377816764714811068691687746836329902072061652056810495790492198107347278965057851023499947658002708362042755853823177198924490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 (n=110): root=1700, hexadecimal_sum=1810, 1700 == 1810-110
